origin_text,vi_standard,origin_no_tone,cipher_surface,rime_rule_id,tone_class,protected_flag,decode_key,row_hmac
directorsprovided,giám đốc cung cấp,giam đôc cung câp,giam đoc cung cap,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C1,C0,C1",false,"giam đôc cung câp|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C1,C0,C1",648aade5fa60a93305a8206613ce53d9ade58d87acc6234790b2688e656b4e45
directorystructure,cấu trúc thư mục,câu truc thư muc,cau truc thu muc,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C1,C0,C5",false,"câu truc thư muc|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C1,C0,C5",7501f001cbdbb3250e5df9ffa2ce593b68068bdbf553ea182c5d73a6fee8fc03
disableanimations,tắt hoạt ảnh,tăt hoat anh,tat hoat anh,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C5,C3",false,"tăt hoat anh|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C5,C3",eba809cb6adfea49dd2fa66b8b50d88f1e73e600ccc26fcfdfcaa7b3794bfc59
disableemaillookup,vô hiệu hóa tra cứu email,vô hiêu hoa tra cưu email,vo hieu hoa tra cuu email,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP","C0,C5,C1,C0,C1,C0",false,"vô hiêu hoa tra cưu email|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP|C0,C5,C1,C0,C1,C0",d7540ae3650247ec310c5fd06e6b1661ac6420e0cfd635139a7445909e185f35
disablelearnmorelink,vô hiệu hóa liên kết tìm hiểu thêm,vô hiêu hoa liên kêt tim hiêu thêm,vo hieu hoa lien ket tim hieu them,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C5,C1,C0,C1,C2,C3,C0",false,"vô hiêu hoa liên kêt tim hiêu thêm|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C5,C1,C0,C1,C2,C3,C0",b737b3a8eadfd6e1a16992c9d438b104dc4daf29a4d91e646e5223a8e9e53d84
disablelinkpassthrough,vô hiệu hóa liên kết truyền qua,vô hiêu hoa liên kêt truyên qua,vo hieu hoa lien ket truyen qua,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C5,C1,C0,C1,C2,C0",false,"vô hiêu hoa liên kêt truyên qua|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C5,C1,C0,C1,C2,C0",83116e5faa244b4ae6322a54bd5882c74ced55639f0fcdd67758906e03d87057
disableautotrack,tắt tính năng theo dõi tự động,tăt tinh năng theo doi tư đông,tat tinh nang theo dau tu đong,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C0,C0,C4,C5,C5",false,"tăt tinh năng theo doi tư đông|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C0,C0,C4,C5,C5",06c99c3a3fe6c4893ff04be657d635ff9b88cb646e9eafec03bc0d015bd606ad
disablebackgroundcacherefresh,tắt tính năng làm mới bộ nhớ cache nền,tăt tinh năng lam mơi bô nhơ cache nên,tat tinh nang lam moi bo nho cache nen,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C1,C0,C2,C1,C5,C1,C0,C2",false,"tăt tinh năng lam mơi bô nhơ cache nên|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C1,C0,C2,C1,C5,C1,C0,C2",a00d2cfd84b750bd19da8aa5c3859673547dad5de9aacd618a45f552dc685c17
disabledadaptivepricing,giá cả thích ứng bị vô hiệu hóa,gia ca thich ưng bi vô hiêu hoa,gia ca thich ung bi vo hieu hoa,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C1,C3,C1,C1,C5,C0,C5,C1",false,"gia ca thich ưng bi vô hiêu hoa|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C1,C3,C1,C1,C5,C0,C5,C1",5b27af27abef834480f444f7ae36c1fb48b92703c380ad91502e4a0522395906
disabledindashboard,bị vô hiệu hóa trong bảng điều khiển,bi vô hiêu hoa trong bang điêu khiên,bi vo hieu hoa trong bang đieu khien,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C0,C5,C1,C0,C3,C2,C3",false,"bi vô hiêu hoa trong bang điêu khiên|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C0,C5,C1,C0,C3,C2,C3",9550022f076cb0ceee83eb5b50bf4e3e674267656229a0a216f715255039c134
disableddecorator,người trang trí bị vô hiệu hóa,ngươi trang tri bi vô hiêu hoa,ngui trang tri bi vo hieu hoa,"RN_UOI_UI,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C2,C0,C1,C5,C0,C5,C1",false,"ngươi trang tri bi vô hiêu hoa|RN_UOI_UI,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C2,C0,C1,C5,C0,C5,C1",f4932c81b796aae91431265f49345d394901a55bac9081e9c67cc67b8f0cf29d
disableevaluationmemoization,vô hiệu hóa ghi nhớ đánh giá,vô hiêu hoa ghi nhơ đanh gia,vo hieu hoa ghi nho đanh gia,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C1,C0,C1,C1,C1",false,"vô hiêu hoa ghi nhơ đanh gia|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C1,C0,C1,C1,C1",66123c969a13a70638d3e7ef83e1bb347b5909d9414d26a69932ed4cbdb44624
disableipallowlistfororganization,vô hiệu hóa danh sách cho phép ip cho tổ chức,vô hiêu hoa danh sach cho phep ip cho tô chưc,vo hieu hoa danh sach cho phep ip cho to chuc,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C1,C0,C1,C0,C1,C0,C0,C3,C1",false,"vô hiêu hoa danh sach cho phep ip cho tô chưc|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C1,C0,C1,C0,C1,C0,C0,C3,C1",e57ba2de3d60fd8664b51793d595bda33067eeb7a886f75004a50c7e45a8592d
disableipallowlistforprojects,vô hiệu hóa danh sách cho phép ip cho dự án,vô hiêu hoa danh sach cho phep ip cho dư an,vo hieu hoa danh sach cho phep ip cho du an,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C1,C0,C1,C0,C1,C0,C0,C5,C1",false,"vô hiêu hoa danh sach cho phep ip cho dư an|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C1,C0,C1,C0,C1,C0,C0,C5,C1",346f29b3a40dc7dc2fb363991513c03e28233e348163b539420c2883b157ab76
disablelanguagesselect,vô hiệu hóa chọn ngôn ngữ,vô hiêu hoa chon ngôn ngư,vo hieu hoa chon ngon ngu,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C5,C1,C5,C0,C4",false,"vô hiêu hoa chon ngôn ngư|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C5,C1,C5,C0,C4",dcf22d5a499f0548a76de1a1003312f7798b62c8b80432a132c8a948a3055a31
disablelink,vô hiệu hóa liên kết,vô hiêu hoa liên kêt,vo hieu hoa lien ket,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C5,C1,C0,C1",false,"vô hiêu hoa liên kêt|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C5,C1,C0,C1",334d40d9c5beb3d33c25ce782d85309ace77149ad6139b1ae84b1d9674c7f7a4
disableparentcontext,vô hiệu hóa ngữ cảnh cha,vô hiêu hoa ngư canh cha,vo hieu hoa ngu canh cha,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C5,C1,C4,C3,C0",false,"vô hiêu hoa ngư canh cha|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C5,C1,C4,C3,C0",fb6d90e40bfe3f9be00e0cc1cc56533b229695fc08b5c5fc03d300f9b950b41b
disablestatsigencoding,vô hiệu hóa mã hóa thống kê,vô hiêu hoa ma hoa thông kê,vo hieu hoa ma hoa thong ke,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C5,C1,C4,C1,C1,C0",false,"vô hiêu hoa ma hoa thông kê|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C5,C1,C4,C1,C1,C0",a73b78654f288c6f990636adb5dd13c5fecf72dec2700f7a1ec4562d371862eb
disablewallets,vô hiệu hóa ví,vô hiêu hoa vi,vo hieu hoa vi,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C1,C1",false,"vô hiêu hoa vi|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C1,C1",c263321ae7e8727c6342552f9c78188ddc8905a2f5484b6f879fa0848a8a789f
disagree,không đồng ý,không đông y,khong đong y,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C1",false,"không đông y|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C1",930060ebedbfb440cbbed5ac408e6f3030ed427ca5a50bf3a82e6903ba83f067
disallowfundingsourcecreation,cấm tạo nguồn tài trợ,câm tao nguôn tai trơ,cam tao nguon tai tro,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C5,C2,C2,C5",false,"câm tao nguôn tai trơ|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C5,C2,C2,C5",9a7d376a92b2824c6b7f2d48207aeb74efdd7faae42a27b54bb718bc5ba8b084
disallowedaddress,địa chỉ bị cấm,đia chi bi câm,đia chi bi cam,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C3,C5,C1",false,"đia chi bi câm|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C3,C5,C1",7984d5cdcfa25de089ba08d986728989cd6081d25722bf7097610534de8eccf1
disallowfundingsourcecreation,cấm tạo nguồn tài trợ,câm tao nguôn tai trơ,cam tao nguon tai tro,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C5,C2,C2,C5",false,"câm tao nguôn tai trơ|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C5,C2,C2,C5",9a7d376a92b2824c6b7f2d48207aeb74efdd7faae42a27b54bb718bc5ba8b084
disaster,thảm họa,tham hoa,tham hoa,"R_TONE_ONLY,R_TONE_ONLY","C3,C5",false,"tham hoa|R_TONE_ONLY,R_TONE_ONLY|C3,C5",12144f66a29321b8263c46518fa68f911ba116d73a6f47e3ab4c13bb2911ace6
discardedevents,sự kiện bị loại bỏ,sư kiên bi loai bo,su kien bi loai bo,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C5,C5,C3",false,"sư kiên bi loai bo|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C5,C5,C3",42b708f3829f3027c0528b5557cf3913a942c5b5edb57e026d49d8490cb4ca14
discarding,loại bỏ,loai bo,loai bo,"R_TONE_ONLY,R_TONE_ONLY","C5,C3",false,"loai bo|R_TONE_ONLY,R_TONE_ONLY|C5,C3",4dea92cdfd5cc0b3047091d108431b55ccbbb271b9243a7f35f9dd5042bb721a
disciplined,kỷ luật,ky luât,ky luat,"R_TONE_ONLY,R_TONE_ONLY","C3,C5",false,"ky luât|R_TONE_ONLY,R_TONE_ONLY|C3,C5",3ed1a1d2cda016c37157b7036557b59057946a75211bb8270d94335d5b28d4b6
disciplining,kỷ luật,ky luât,ky luat,"R_TONE_ONLY,R_TONE_ONLY","C3,C5",false,"ky luât|R_TONE_ONLY,R_TONE_ONLY|C3,C5",3ed1a1d2cda016c37157b7036557b59057946a75211bb8270d94335d5b28d4b6
disclaimerlinktoswedengeneralterms,tuyên bố miễn trừ trách nhiệm liên kết đến Thụy Điển điều khoản chung,tuyên bô miên trư trach nhiêm liên kêt đên Thuy Điên điêu khoan chung,tuyen bo mien tru trach nhiem lien ket đen thuy đien đieu khoan chung,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C1,C4,C2,C1,C5,C0,C1,C1,C5,C3,C2,C3,C0",false,"tuyên bô miên trư trach nhiêm liên kêt đên Thuy Điên điêu khoan chung|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C1,C4,C2,C1,C5,C0,C1,C1,C5,C3,C2,C3,C0",378ae242fb54bedb6260baa831ae110301a39d11ff29aa276f5ede065c1b20ba
disclaimerlinktext,tuyên bố từ chối trách nhiệm liên kết văn bản,tuyên bô tư chôi trach nhiêm liên kêt văn ban,tuyen bo tu chau trach nhiem lien ket ven ban,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,RN_AN_EN,R_TONE_ONLY","C0,C1,C2,C1,C1,C5,C0,C1,C0,C3",false,"tuyên bô tư chôi trach nhiêm liên kêt văn ban|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,RN_AN_EN,R_TONE_ONLY|C0,C1,C2,C1,C1,C5,C0,C1,C0,C3",003fad2df8b3507d28d44fcd54753c37554d57807ac591f404895143b117bf71
disclose,tiết lộ,tiêt lô,tiet lo,"R_TONE_ONLY,R_TONE_ONLY","C1,C5",false,"tiêt lô|R_TONE_ONLY,R_TONE_ONLY|C1,C5",03dfb51263fcf966424a49e53661ae4ea15e8b1e91817677ddf441c4883643c6
disclosed,đã tiết lộ,đa tiêt lô,đa tiet lo,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C1,C5",false,"đa tiêt lô|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C1,C5",dbb6bc704a9d52fff502a1af455bd4bdc8c0585c7114ff00870192f38b48241c
disconnectedcallback,cuộc gọi lại bị ngắt kết nối,cuôc goi lai bi ngăt kêt nôi,cuoc gau lai bi ngat ket nau,"R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU","C5,C5,C5,C5,C1,C1,C1",false,"cuôc goi lai bi ngăt kêt nôi|R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU|C5,C5,C5,C5,C1,C1,C1",ef69f2d0c4c7dedbd4b4bc82c53e1924cdce03b980b6863f8cc4a0d4bed8dd96
discontinuous,không liên tục,không liên tuc,khong lien tuc,"R_KEEP,R_KEEP,R_TONE_ONLY","C0,C0,C5",false,"không liên tuc|R_KEEP,R_KEEP,R_TONE_ONLY|C0,C0,C5",58a884278fb7e745085456406f287adecba5138054b499fbc07ef8208b043580
discountwithcode,mã giảm giá,ma giam gia,ma giam gia,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C3,C1",false,"ma giam gia|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C3,C1",2242c9ff598c5520e74b47153685f05b75d44772e2bc6dfc7768d1b7ca7ec0fa
discountapplied,giảm giá đã được áp dụng,giam gia đa đươc ap dung,giam gia đa đuoc ap dung,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C1,C4,C5,C1,C5",false,"giam gia đa đươc ap dung|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C1,C4,C5,C1,C5",3a3fe48f4ace1370d331b1dc27a4b83261140062ce26a0f9ffa2290d0222a404
discountcode,mã giảm giá,ma giam gia,ma giam gia,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C3,C1",false,"ma giam gia|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C3,C1",2242c9ff598c5520e74b47153685f05b75d44772e2bc6dfc7768d1b7ca7ec0fa
discounttotal,tổng giảm giá,tông giam gia,tong giam gia,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C3,C1",false,"tông giam gia|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C3,C1",5ae86b8a2f71d19f9ef70ef1516ffcd25ba40492b3fa75604f886ee7770e5619
discourse,diễn ngôn,diên ngôn,dien ngon,"R_TONE_ONLY,R_KEEP","C4,C0",false,"diên ngôn|R_TONE_ONLY,R_KEEP|C4,C0",e82166bd6cf2b2764b2596cc5146749941f86de849ac036f000a7385c12ab93c
discoveries20260424,khám phá20260424,kham pha20260424,kham pha20260424,"R_TONE_ONLY,R_TONE_ONLY","C1,C1",false,"kham pha20260424|R_TONE_ONLY,R_TONE_ONLY|C1,C1",0705401e2db2725a3fff4cb82fd53483d87ea8b1dbb29ee2a310a28b7a7b8c16
discoverinvalidcredentials,khám phá thông tin đăng nhập không hợp lệ,kham pha thông tin đăng nhâp không hơp lê,kham pha thong tin đang nhap khong hop le,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C0,C0,C0,C5,C0,C5,C5",false,"kham pha thông tin đăng nhâp không hơp lê|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C0,C0,C0,C5,C0,C5,C5",7bf6734d48b3a67fb986f4c7a032b157db88a23baf24567375bb0d61faf98a2f
discrepancies,sự khác biệt,sư khac biêt,su khac biet,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C1,C5",false,"sư khac biêt|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C1,C5",41568c99aad58a9d44ebd56520b2c4b5c615ee1d2ad38e4b10fa5fb9eb26d990
discrepanciesflagged,sự khác biệt được đánh dấu,sư khac biêt đươc đanh dâu,su khac biet đuoc đanh dau,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C1,C5,C5,C1,C1",false,"sư khac biêt đươc đanh dâu|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C1,C5,C5,C1,C1",c288a59f00804bd23132767a3caf607dfcf3a3aaa3670d74687c7e14bcb8d05f
discreteclassificationmodelgrader,mô hình phân loại rời rạc,mô hinh phân loai rơi rac,mo hinh phan loai roi rac,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C0,C5,C2,C5",false,"mô hinh phân loai rơi rac|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C0,C5,C2,C5",c9bdda10453acd373a2de3515467d050e495ce38f70f209e8647c59581e096a3
discriminate,phân biệt đối xử,phân biêt đôi xư,phan biet đau xu,"R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY","C0,C5,C1,C3",false,"phân biêt đôi xư|R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY|C0,C5,C1,C3",7db9466e549f6a30829bbb4df6d1db7090422e483e1f8c6983c79f7146e041a9
discriminatedunion,công đoàn phân biệt đối xử,công đoan phân biêt đôi xư,cong đoan phan biet đau xu,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY","C0,C2,C0,C5,C1,C3",false,"công đoan phân biêt đôi xư|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY|C0,C2,C0,C5,C1,C3",db4bdb552cf80fa67f8d9d82bca1837f22822d71303e5d591541aad0b9f42ee0
discussions,thảo luận,thao luân,thao luan,"R_TONE_ONLY,R_TONE_ONLY","C3,C5",false,"thao luân|R_TONE_ONLY,R_TONE_ONLY|C3,C5",31561d4573208c89a550f0ca5a7d1b83f4348ec6120717ce36bcfaff76e1f5a6
dishonest,không trung thực,không trung thưc,khong trung thuc,"R_KEEP,R_KEEP,R_TONE_ONLY","C0,C0,C5",false,"không trung thưc|R_KEEP,R_KEEP,R_TONE_ONLY|C0,C0,C5",a9b061074b572607a59a091a0c6215cd4b9a7800abe0bf27a263b0bf288467f0
diskusagepercent,phần trăm sử dụng đĩa,phân trăm sư dung đia,phan tram su dung đia,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C2,C0,C3,C5,C4",false,"phân trăm sư dung đia|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C2,C0,C3,C5,C4",e12c5d58e69a7716a2ad67d95d350161aed941b9b505f664ec6e43df324883a0
diskimage,ảnh đĩa,anh đia,anh đia,"R_TONE_ONLY,R_TONE_ONLY","C3,C4",false,"anh đia|R_TONE_ONLY,R_TONE_ONLY|C3,C4",6a2edb92ffac53c89591d454a321f21c070cacf96b89205a6bd117527ccdb269
dismissablelayerbranch,nhánh lớp có thể bị sa thải,nhanh lơp co thê bi sa thai,nhanh lop co the bi sa thai,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C1,C1,C3,C5,C0,C3",false,"nhanh lơp co thê bi sa thai|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C1,C1,C3,C5,C0,C3",a5c790159307cb84553463a8f47f1bbe425c2c9cd09e618c5af43b5a8f5e55e8
disorder,rối loạn,rôi loan,rau loan,"RN_OI_AU,R_TONE_ONLY","C1,C5",false,"rôi loan|RN_OI_AU,R_TONE_ONLY|C1,C5",47fbeebf2b71fdcb1323e26ac064841d2f73e4c7d97a78a1bed476d50e36a7ce
dispatchtable,bảng điều phối,bang điêu phôi,bang đieu phau,"R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU","C3,C2,C1",false,"bang điêu phôi|R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU|C3,C2,C1",e636feff66252fe2c5f613868d4d02c2494151ccf72ea9592e9344414e7ba863
displaybanktransferinstructions,hiển thị hướng dẫn chuyển khoản ngân hàng,hiên thi hương dân chuyên khoan ngân hang,hien thi huong dan chuyen khoan ngan hang,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C3,C5,C1,C4,C3,C3,C0,C2",false,"hiên thi hương dân chuyên khoan ngân hang|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C3,C5,C1,C4,C3,C3,C0,C2",f66ad09f9daf976c427b0bcbec963000897422f2fd61a59b46f25c8a9cf37aa1
displayhmi,màn hìnhhmi,man hinhhmi,man hinhhmi,"R_TONE_ONLY,R_TONE_ONLY","C2,C2",false,"man hinhhmi|R_TONE_ONLY,R_TONE_ONLY|C2,C2",a707026c70f259974ebb8161855168ed92121c89976595a5e1708445e3f96241
displayzones,khu vực trưng bày,khu vưc trưng bay,khu vuc trung bay,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C5,C0,C2",false,"khu vưc trưng bay|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C5,C0,C2",d99ad3b25de53dafc81e92000ce68c7c95953ce9bb929a11e0bf61d6420786b5
displayedpaymentmethods,phương thức thanh toán được hiển thị,phương thưc thanh toan đươc hiên thi,phuong thuc thanh toan đuoc hien thi,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C1,C0,C1,C5,C3,C5",false,"phương thưc thanh toan đươc hiên thi|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C1,C0,C1,C5,C3,C5",6091e78ae1431698f8f35bad9e6b0e61f0921d26985b5e1fcae344776e6c6fa9
